CU,clock,Cycles,IPC,IPC_delta,CPI,CPI_delta,Frequency,Voltage,EDP,ED2P,Sensitivity
2,11913126000000,59000,0.0303051,0.005,32.9978,200.0,4000000000,1.0,20000000.0,100000.0,5.0
2,11913127000000,63000,0.029,0.00975,34.4828,102.564,4000000000,1.0,39000000.0,380250.0,9.75
2,11913128000000,67000,0.0282836,0.017,35.3562,58.8235,4000000000,1.0,68000000.0,1156000.0,17.0
2,11913129000000,71000,0.0269155,0.004,37.1533,250.0,4000000000,1.0,16000000.0,64000.0,4.0
2,11913130000000,75000,0.02616,0.01275,38.2263,78.4314,4000000000,1.0,51000000.0,650250.0,12.75
2,11913131000000,76940,0.0260463,0.0216495,38.3932,46.1905,4000000000,1.0,86597900.0,1874800.0,10.5
2,11913132000000,76940,0.0260463,,38.3932,0.0,4000000000,1.0,,,0.0
3,11913101000000,1000,0.016,0.016,62.5,62.5,1000000000,0.8,12800000.0,204800.0,16.0
3,11913102000000,2000,0.024,0.032,41.6667,31.25,1000000000,0.8,25600000.0,819200.0,32.0
3,11913103000000,3000,0.0213333,0.016,46.875,62.5,1000000000,0.8,12800000.0,204800.0,16.0
3,11913104000000,4000,0.024,0.032,41.6667,31.25,1000000000,0.8,25600000.0,819200.0,32.0
3,11913105000000,5000,0.0224,0.016,44.6429,62.5,1000000000,0.8,12800000.0,204800.0,16.0
3,11913106000000,6000,0.024,0.032,41.6667,31.25,1000000000,0.8,25600000.0,819200.0,32.0
3,11913107000000,7000,0.0228571,0.016,43.75,62.5,1000000000,0.8,12800000.0,204800.0,16.0
3,11913108000000,8000,0.024,0.032,41.6667,31.25,1000000000,0.8,25600000.0,819200.0,32.0
3,11913109000000,9000,0.0226667,0.012,44.1176,83.3333,1000000000,0.8,9600000.0,115200.0,12.0
3,11913110000000,13000,0.0249231,0.03,40.1235,33.3333,4000000000,1.0,120000000.0,3600000.0,30.0
3,11913111000000,17000,0.0197647,0.003,50.5952,333.333,4000000000,1.0,12000000.0,36000.0,3.0
3,11913112000000,18000,0.0253333,0.12,39.4737,8.33333,1000000000,0.8,96000000.0,11520000.0,120.0
3,11913113000000,22000,0.0212727,0.003,47.0085,333.333,4000000000,1.0,12000000.0,36000.0,3.0
3,11913114000000,26000,0.0242308,0.0405,41.2698,24.6914,4000000000,1.0,162000000.0,6561000.0,40.5
3,11913115000000,30000,0.0321667,0.08375,31.0881,11.9403,4000000000,1.0,335000000.0,28056200.0,83.75
3,11913116000000,34000,0.0402353,0.10075,24.8538,9.92556,4000000000,1.0,403000000.0,40602200.0,100.75
3,11913117000000,38000,0.0380789,0.01975,26.2612,50.6329,4000000000,1.0,79000000.0,1560250.0,19.75
3,11913118000000,42000,0.0348333,0.004,28.7081,250.0,4000000000,1.0,16000000.0,64000.0,4.0
3,11913119000000,43000,0.0357209,0.073,27.9948,13.6986,1000000000,0.8,58400000.0,4263200.0,73.0
3,11913120000000,44000,0.0364545,0.068,27.4314,14.7059,1000000000,0.8,54400000.0,3699200.0,68.0
3,11913121000000,48000,0.0339167,0.006,29.484,166.667,4000000000,1.0,24000000.0,144000.0,6.0
3,11913122000000,49000,0.0336327,0.02,29.733,50.0,1000000000,0.8,16000000.0,320000.0,20.0
3,11913123000000,50000,0.03406,0.055,29.36,18.1818,1000000000,0.8,44000000.0,2420000.0,55.0
3,11913124000000,54000,0.0318333,0.004,31.4136,250.0,4000000000,1.0,16000000.0,64000.0,4.0
3,11913125000000,55000,0.0321455,0.049,31.1086,20.4082,1000000000,0.8,39200000.0,1920800.0,49.0
3,11913126000000,59000,0.0303051,0.005,32.9978,200.0,4000000000,1.0,20000000.0,100000.0,5.0
3,11913127000000,63000,0.0289524,0.009,34.5395,111.111,4000000000,1.0,36000000.0,324000.0,9.0
3,11913128000000,67000,0.0282836,0.01775,35.3562,56.338,4000000000,1.0,71000000.0,1260250.0,17.75
3,11913129000000,71000,0.0268732,0.00325,37.2117,307.692,4000000000,1.0,13000000.0,42250.0,3.25
3,11913130000000,75000,0.02608,0.012,38.3436,83.3333,4000000000,1.0,48000000.0,576000.0,12.0
3,11913131000000,79000,0.0252658,0.01,39.5792,100.0,4000000000,1.0,40000000.0,400000.0,10.0
3,11913132000000,82062,0.0244206,0.00261267,40.9491,382.75,4000000000,1.0,10450700.0,27304.2,2.0
4,11913101000000,1000,0.016,0.016,62.5,62.5,1000000000,0.8,12800000.0,204800.0,16.0
4,11913102000000,2000,0.024,0.032,41.6667,31.25,1000000000,0.8,25600000.0,819200.0,32.0
4,11913103000000,3000,0.0213333,0.016,46.875,62.5,1000000000,0.8,12800000.0,204800.0,16.0
4,11913104000000,4000,0.024,0.032,41.6667,31.25,1000000000,0.8,25600000.0,819200.0,32.0
4,11913105000000,5000,0.0194,0.001,51.5464,1000.0,1000000000,0.8,800000.0,800.0,1.0
4,11913106000000,6000,0.0186667,0.015,53.5714,66.6667,1000000000,0.8,12000000.0,180000.0,15.0
4,11913107000000,7000,0.0205714,0.032,48.6111,31.25,1000000000,0.8,25600000.0,819200.0,32.0
4,11913108000000,8000,0.02,0.016,50.0,62.5,1000000000,0.8,12800000.0,204800.0,16.0
4,11913109000000,9000,0.0213333,0.032,46.875,31.25,1000000000,0.8,25600000.0,819200.0,32.0
4,11913110000000,13000,0.0156923,0.003,63.7255,333.333,4000000000,1.0,12000000.0,36000.0,3.0
4,11913111000000,17000,0.0190588,0.03,52.4691,33.3333,4000000000,1.0,120000000.0,3600000.0,30.0
4,11913112000000,18000,0.0186667,0.012,53.5714,83.3333,1000000000,0.8,9600000.0,115200.0,12.0
4,11913113000000,22000,0.0207273,0.03,48.2456,33.3333,4000000000,1.0,120000000.0,3600000.0,30.0
4,11913114000000,26000,0.018,0.003,55.5556,333.333,4000000000,1.0,12000000.0,36000.0,3.0
4,11913115000000,30000,0.021,0.0405,47.619,24.6914,4000000000,1.0,162000000.0,6561000.0,40.5
4,11913116000000,34000,0.0345294,0.136,28.9608,7.35294,4000000000,1.0,544000000.0,73984000.0,136.0
4,11913117000000,38000,0.0360789,0.04925,27.717,20.3046,4000000000,1.0,197000000.0,9702250.0,49.25
4,11913118000000,42000,0.0343571,0.018,29.106,55.5556,4000000000,1.0,72000000.0,1296000.0,18.0
4,11913119000000,43000,0.0340233,0.02,29.3917,50.0,1000000000,0.8,16000000.0,320000.0,20.0
4,11913120000000,44000,0.0343409,0.048,29.1198,20.8333,1000000000,0.8,38400000.0,1843200.0,48.0
4,11913121000000,48000,0.0328125,0.016,30.4762,62.5,4000000000,1.0,64000000.0,1024000.0,16.0
4,11913122000000,49000,0.032551,0.02,30.721,50.0,1000000000,0.8,16000000.0,320000.0,20.0
4,11913123000000,50000,0.03288,0.049,30.4136,20.4082,1000000000,0.8,39200000.0,1920800.0,49.0
4,11913124000000,54000,0.031537,0.01475,31.7087,67.7966,4000000000,1.0,59000000.0,870250.0,14.75
4,11913125000000,55000,0.0317818,0.045,31.4645,22.2222,1000000000,0.8,36000000.0,1620000.0,45.0
4,11913126000000,59000,0.0299492,0.00475,33.3899,210.526,4000000000,1.0,19000000.0,90250.0,4.75
4,11913127000000,63000,0.0283651,0.005,35.2546,200.0,4000000000,1.0,20000000.0,100000.0,5.0
4,11913128000000,67000,0.0273582,0.0115,36.5521,86.9565,4000000000,1.0,46000000.0,529000.0,11.5
4,11913129000000,71000,0.0266901,0.0155,37.467,64.5161,4000000000,1.0,62000000.0,961000.0,15.5
4,11913130000000,75000,0.0258533,0.011,38.6797,90.9091,4000000000,1.0,44000000.0,484000.0,11.0
4,11913131000000,79000,0.0251646,0.01225,39.7384,81.6327,4000000000,1.0,49000000.0,600250.0,12.25
4,11913132000000,81358,0.0246319,0.00678541,40.5978,147.375,4000000000,1.0,27141600.0,184167.0,4.0
5,11913101000000,1000,0.016,0.016,62.5,62.5,1000000000,0.8,12800000.0,204800.0,16.0
5,11913102000000,2000,0.024,0.032,41.6667,31.25,1000000000,0.8,25600000.0,819200.0,32.0
5,11913103000000,3000,0.0213333,0.016,46.875,62.5,1000000000,0.8,12800000.0,204800.0,16.0
5,11913104000000,4000,0.024,0.032,41.6667,31.25,1000000000,0.8,25600000.0,819200.0,32.0
5,11913105000000,5000,0.0194,0.001,51.5464,1000.0,1000000000,0.8,800000.0,800.0,1.0
5,11913106000000,6000,0.0186667,0.015,53.5714,66.6667,1000000000,0.8,12000000.0,180000.0,15.0
5,11913107000000,7000,0.0205714,0.032,48.6111,31.25,1000000000,0.8,25600000.0,819200.0,32.0
5,11913108000000,8000,0.02,0.016,50.0,62.5,1000000000,0.8,12800000.0,204800.0,16.0
5,11913109000000,9000,0.0213333,0.032,46.875,31.25,1000000000,0.8,25600000.0,819200.0,32.0
5,11913110000000,13000,0.0156923,0.003,63.7255,333.333,4000000000,1.0,12000000.0,36000.0,3.0
5,11913111000000,17000,0.0190588,0.03,52.4691,33.3333,4000000000,1.0,120000000.0,3600000.0,30.0
5,11913112000000,18000,0.0186667,0.012,53.5714,83.3333,1000000000,0.8,9600000.0,115200.0,12.0
5,11913113000000,22000,0.0207273,0.03,48.2456,33.3333,4000000000,1.0,120000000.0,3600000.0,30.0
5,11913114000000,26000,0.018,0.003,55.5556,333.333,4000000000,1.0,12000000.0,36000.0,3.0
5,11913115000000,30000,0.021,0.0405,47.619,24.6914,4000000000,1.0,162000000.0,6561000.0,40.5
5,11913116000000,34000,0.0345294,0.136,28.9608,7.35294,4000000000,1.0,544000000.0,73984000.0,136.0
5,11913117000000,38000,0.0360789,0.04925,27.717,20.3046,4000000000,1.0,197000000.0,9702250.0,49.25
5,11913118000000,42000,0.0343571,0.018,29.106,55.5556,4000000000,1.0,72000000.0,1296000.0,18.0
5,11913119000000,43000,0.0340233,0.02,29.3917,50.0,1000000000,0.8,16000000.0,320000.0,20.0
5,11913120000000,44000,0.0343409,0.048,29.1198,20.8333,1000000000,0.8,38400000.0,1843200.0,48.0
5,11913121000000,48000,0.0328125,0.016,30.4762,62.5,4000000000,1.0,64000000.0,1024000.0,16.0
5,11913122000000,49000,0.032551,0.02,30.721,50.0,1000000000,0.8,16000000.0,320000.0,20.0
5,11913123000000,50000,0.03288,0.049,30.4136,20.4082,1000000000,0.8,39200000.0,1920800.0,49.0
5,11913124000000,54000,0.031537,0.01475,31.7087,67.7966,4000000000,1.0,59000000.0,870250.0,14.75
5,11913125000000,55000,0.0317818,0.045,31.4645,22.2222,1000000000,0.8,36000000.0,1620000.0,45.0
5,11913126000000,59000,0.0299492,0.00475,33.3899,210.526,4000000000,1.0,19000000.0,90250.0,4.75
5,11913127000000,63000,0.0283651,0.005,35.2546,200.0,4000000000,1.0,20000000.0,100000.0,5.0
5,11913128000000,67000,0.0273582,0.0115,36.5521,86.9565,4000000000,1.0,46000000.0,529000.0,11.5
5,11913129000000,71000,0.0266901,0.0155,37.467,64.5161,4000000000,1.0,62000000.0,961000.0,15.5
5,11913130000000,75000,0.0258533,0.011,38.6797,90.9091,4000000000,1.0,44000000.0,484000.0,11.0
5,11913131000000,79000,0.0251646,0.01225,39.7384,81.6327,4000000000,1.0,49000000.0,600250.0,12.25
5,11913132000000,81358,0.0246319,0.00678541,40.5978,147.375,4000000000,1.0,27141600.0,184167.0,4.0
6,11913101000000,1000,0.016,0.016,62.5,62.5,1000000000,0.8,12800000.0,204800.0,16.0
6,11913102000000,2000,0.024,0.032,41.6667,31.25,1000000000,0.8,25600000.0,819200.0,32.0
6,11913103000000,3000,0.0213333,0.016,46.875,62.5,1000000000,0.8,12800000.0,204800.0,16.0
6,11913104000000,4000,0.024,0.032,41.6667,31.25,1000000000,0.8,25600000.0,819200.0,32.0
6,11913105000000,5000,0.0194,0.001,51.5464,1000.0,1000000000,0.8,800000.0,800.0,1.0
6,11913106000000,6000,0.0186667,0.015,53.5714,66.6667,1000000000,0.8,12000000.0,180000.0,15.0
6,11913107000000,7000,0.0205714,0.032,48.6111,31.25,1000000000,0.8,25600000.0,819200.0,32.0
6,11913108000000,8000,0.02,0.016,50.0,62.5,1000000000,0.8,12800000.0,204800.0,16.0
6,11913109000000,9000,0.0213333,0.032,46.875,31.25,1000000000,0.8,25600000.0,819200.0,32.0
6,11913110000000,13000,0.0156923,0.003,63.7255,333.333,4000000000,1.0,12000000.0,36000.0,3.0
6,11913111000000,17000,0.0190588,0.03,52.4691,33.3333,4000000000,1.0,120000000.0,3600000.0,30.0
6,11913112000000,18000,0.0186667,0.012,53.5714,83.3333,1000000000,0.8,9600000.0,115200.0,12.0
