CU,clock,Cycles,IPC,IPC_delta,CPI,CPI_delta,Frequency,Voltage,EDP,ED2P,Sensitivity
11,11223081000000,304768,0.140953,0.133,7.09456,7.5188,1000000000.0,0.8,4.81203e-09,3.61807e-17,0.930964
11,11223082000000,305768,0.140865,0.114,7.099,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.342304
11,11223083000000,306768,0.142512,0.646,7.01697,1.54799,1000000000.0,0.8,9.90712e-10,1.5336100000000002e-18,0.2807
11,11223084000000,307768,0.142529,0.148,7.01609,6.75676,1000000000.0,0.8,4.32432e-09,2.92184e-17,0.692065
11,11223085000000,308768,0.142748,0.21,7.00535,4.7619,1000000000.0,0.8,3.04762e-09,1.45125e-17,0.348276
11,11223086000000,309768,0.143637,0.418,6.96202,2.39234,1000000000.0,0.8,1.5311e-09,3.66292e-18,1.05415
11,11223087000000,310768,0.143541,0.114,6.96664,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.443784
11,11223088000000,311768,0.144563,0.462,6.91742,2.1645,1000000000.0,0.8,1.38528e-09,2.9984400000000003e-18,0.155078
11,11223089000000,312768,0.144689,0.184,6.91139,5.43478,1000000000.0,0.8,3.47826e-09,1.89036e-17,0.769637
11,11223090000000,313768,0.144699,0.148,6.91088,6.75676,1000000000.0,0.8,4.32432e-09,2.92184e-17,0.205323
11,11223091000000,314768,0.146235,0.628,6.83832,1.59236,1000000000.0,0.8,1.01911e-09,1.62278e-18,0.243569
11,11223092000000,315768,0.146133,0.114,6.8431,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.403591
11,11223093000000,316768,0.146233,0.178,6.83839,5.61798,1000000000.0,0.8,3.59551e-09,2.01995e-17,0.274376
11,11223094000000,317768,0.147246,0.468,6.79137,2.13675,1000000000.0,0.8,1.36752e-09,2.92205e-18,1.06389
11,11223095000000,318768,0.147248,0.148,6.79126,6.75676,1000000000.0,0.8,4.32432e-09,2.92184e-17,0.459692
11,11223096000000,319768,0.14801,0.391,6.75628,2.55754,1000000000.0,0.8,1.63683e-09,4.18626e-18,0.272807
11,11223097000000,320768,0.148288,0.237,6.74364,4.21941,1000000000.0,0.8,2.70042e-09,1.13942e-17,0.923325
11,11223098000000,321768,0.148181,0.114,6.74849,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.340051
11,11223099000000,322768,0.149668,0.628,6.68146,1.59236,1000000000.0,0.8,1.01911e-09,1.62278e-18,0.185497
11,11223100000000,323768,0.14965,0.144,6.68224,6.94444,1000000000.0,0.8,4.44444e-09,3.08642e-17,0.732592
11,11223101000000,324768,0.149451,0.085,6.69114,11.7647,1000000000.0,0.8,7.52941e-09,8.85813e-17,0.668733
11,11223102000000,325768,0.150727,0.565,6.63452,1.76991,1000000000.0,0.8,1.13274e-09,2.0048600000000003e-18,0.729894
11,11223103000000,326768,0.150615,0.114,6.63947,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.353254
11,11223104000000,327768,0.151241,0.356,6.61196,2.80899,1000000000.0,0.8,1.79775e-09,5.0498700000000004e-18,0.163352
11,11223105000000,328768,0.151663,0.29,6.59356,3.44828,1000000000.0,0.8,2.2069e-09,7.60999e-18,0.91502
11,11223106000000,329768,0.151652,0.148,6.59404,6.75676,1000000000.0,0.8,4.32432e-09,2.92184e-17,0.62756
11,11223107000000,330768,0.152911,0.568,6.53976,1.76056,1000000000.0,0.8,1.12676e-09,1.98373e-18,0.250685
11,11223108000000,331768,0.152848,0.132,6.54246,7.57576,1000000000.0,0.8,4.84848e-09,3.67309e-17,0.855657
11,11223109000000,332768,0.152596,0.069,6.55326,14.4928,1000000000.0,0.8,9.27536e-09,1.34426e-16,0.280827
11,11223110000000,333721,0.154063,0.666317,6.49086,1.50079,1000000000.0,0.8,9.60504e-10,1.4415100000000001e-18,0.318202
