CU,clock,Cycles,IPC,CPI,CPI_delta,ED2P,EDP,Frequency,IPC_delta,Sensitivity,Voltage
0,20118853000000,209000,0.0159091,62.8571,7.31261,3.34215e-18,1.82815e-09,4e+09,0.13675,0,1
0,20118854000000,213000,0.0159484,62.7024,55.5556,1.92901e-16,1.38889e-08,4e+09,0.018,0,1
0,20118855000000,217000,0.0157465,63.506,200,2.5e-15,5e-08,4e+09,0.005,0,1
0,20118856000000,221000,0.0156787,63.7807,83.3333,4.34028e-16,2.08333e-08,4e+09,0.012,0,1
0,20118857000000,225000,0.0154889,64.5624,200,2.5e-15,5e-08,4e+09,0.005,0,1
0,20118858000000,229000,0.0154978,64.5252,62.5,2.44141e-16,1.5625e-08,4e+09,0.016,0,1
0,20118859000000,233000,0.0153734,65.0475,121.212,9.18274e-16,3.0303e-08,4e+09,0.00825,0,1
0,20118860000000,237000,0.0151983,65.7968,200,2.5e-15,5e-08,4e+09,0.005,0,1
0,20118861000000,241000,0.0151743,65.901,72.7273,3.30579e-16,1.81818e-08,4e+09,0.01375,0,1
0,20118862000000,245000,0.0149918,66.703,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
0,20118863000000,249000,0.0150241,66.5597,58.8235,2.16263e-16,1.47059e-08,4e+09,0.017,0,1
0,20118864000000,253000,0.014917,67.0376,121.212,9.18274e-16,3.0303e-08,4e+09,0.00825,0,1
0,20118865000000,257000,0.0149767,66.7706,53.3333,1.77778e-16,1.33333e-08,4e+09,0.01875,0,1
0,20118866000000,261000,0.0147969,67.5816,307.692,5.91716e-15,7.69231e-08,4e+09,0.00325,0,1
0,20118867000000,265000,0.0147396,67.8443,90.9091,5.16529e-16,2.27273e-08,4e+09,0.011,0,1
0,20118868000000,269000,0.0146543,68.2395,111.111,7.71605e-16,2.77778e-08,4e+09,0.009,0,1
0,20118869000000,272078,0.0145473,68.7413,192.375,2.31301e-15,4.80938e-08,4e+09,0.00519818,0,1
1,20118801000000,4000,0.0005,2000,2000,2.5e-13,5e-07,4e+09,0.0005,0,1
1,20118802000000,8000,0.00425,235.294,125,9.76562e-16,3.125e-08,4e+09,0.008,0,1
1,20118803000000,12000,0.00416667,240,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
1,20118804000000,16000,0.007125,140.351,62.5,2.44141e-16,1.5625e-08,4e+09,0.016,0,1
1,20118805000000,20000,0.0065,153.846,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
1,20118806000000,24000,0.00741667,134.831,83.3333,4.34028e-16,2.08333e-08,4e+09,0.012,0,1
1,20118807000000,28000,0.00692857,144.33,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
1,20118808000000,32000,0.0070625,141.593,125,9.76562e-16,3.125e-08,4e+09,0.008,0,1
1,20118809000000,36000,0.00672222,148.76,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
1,20118810000000,40000,0.00765,130.719,62.5,2.44141e-16,1.5625e-08,4e+09,0.016,0,1
1,20118811000000,44000,0.00729545,137.072,266.667,4.44444e-15,6.66667e-08,4e+09,0.00375,0,1
1,20118812000000,48000,0.00945833,105.727,30.0752,5.65323e-17,7.5188e-09,4e+09,0.03325,0,1
1,20118813000000,52000,0.00896154,111.588,333.333,6.94444e-15,8.33333e-08,4e+09,0.003,0,1
1,20118814000000,56000,0.0104643,95.5631,33.3333,6.94444e-17,8.33333e-09,4e+09,0.03,0,1
1,20118815000000,60000,0.00996667,100.334,333.333,6.94444e-15,8.33333e-08,4e+09,0.003,0,1
1,20118816000000,64000,0.0098125,101.911,133.333,1.11111e-15,3.33333e-08,4e+09,0.0075,0,1
1,20118817000000,68000,0.0107353,93.1507,39.2157,9.61169e-17,9.80392e-09,4e+09,0.0255,0,1
1,20118818000000,72000,0.0104583,95.6175,173.913,1.89036e-15,4.34783e-08,4e+09,0.00575,0,1
1,20118819000000,76000,0.0118158,84.6325,27.5862,4.75624e-17,6.89655e-09,4e+09,0.03625,0,1
1,20118820000000,80000,0.0188125,53.1561,6.58979,2.71408e-18,1.64745e-09,4e+09,0.15175,0,1
1,20118821000000,84000,0.0190714,52.4345,41.2371,1.06281e-16,1.03093e-08,4e+09,0.02425,0,1
