CU,perfLevel,clock,Cycles,IPC,CPI,CPI_delta,ED2P,EDP,Frequency,IPC_delta,Sensitivity,Voltage
9,0,12132249900000,199600,0.0786373,12.7166,2.7027,5.476e+08,1.48e+09,4000000000,0.37,37,1
9,0,12132250000000,200000,0.07848,12.7421,0,0,0,4000000000,0,0,1
9,0,12132250100000,200400,0.0783234,12.7676,0,0,0,4000000000,0,0,1
9,0,12132250200000,200800,0.0781673,12.7931,0,0,0,4000000000,0,0,1
9,0,12132250300000,201200,0.0780119,12.8186,0,0,0,4000000000,0,0,1
9,0,12132250400000,201600,0.0778571,12.844,0,0,0,4000000000,0,0,1
9,0,12132250500000,202000,0.077703,12.8695,0,0,0,4000000000,0,0,1
9,0,12132250600000,202400,0.0775494,12.895,0,0,0,4000000000,0,0,1
9,0,12132250700000,202800,0.0773964,12.9205,0,0,0,4000000000,0,0,1
9,0,12132250800000,203200,0.0772441,12.946,0,0,0,4000000000,0,0,1
9,0,12132250900000,203600,0.0770923,12.9715,0,0,0,4000000000,0,0,1
9,0,12132251000000,204000,0.0775147,12.9008,3.4188,3.42225e+08,1.17e+09,4000000000,0.2925,29.25,1
9,0,12132251100000,204400,0.078136,12.7982,2.53165,6.241e+08,1.58e+09,4000000000,0.395,39.5,1
9,0,12132251200000,204800,0.0786426,12.7158,2.96296,4.55625e+08,1.35e+09,4000000000,0.3375,33.75,1
9,0,12132251300000,205200,0.0791374,12.6362,3.00752,4.42225e+08,1.33e+09,4000000000,0.3325,33.25,1
9,0,12132251400000,205600,0.0795477,12.5711,3.44828,3.364e+08,1.16e+09,4000000000,0.29,29,1
9,0,12132251500000,206000,0.0803495,12.4456,2.03046,9.70225e+08,1.97e+09,4000000000,0.4925,49.25,1
9,0,12132251600000,206400,0.080814,12.3741,3.125,4.096e+08,1.28e+09,4000000000,0.32,32,1
9,0,12132251700000,206800,0.0806576,12.3981,0,0,0,4000000000,0,0,1
9,0,12132251800000,207200,0.0805019,12.4221,0,0,0,4000000000,0,0,1
9,0,12132251900000,207600,0.0803468,12.446,0,0,0,4000000000,0,0,1
9,0,12132252000000,208000,0.0801923,12.47,0,0,0,4000000000,0,0,1
9,0,12132252100000,208400,0.0800384,12.494,0,0,0,4000000000,0,0,1
9,0,12132252200000,208800,0.0798851,12.518,0,0,0,4000000000,0,0,1
9,0,12132252300000,209200,0.0797323,12.542,0,0,0,4000000000,0,0,1
9,0,12132252400000,209600,0.0795802,12.5659,0,0,0,4000000000,0,0,1
9,0,12132252500000,210000,0.0799619,12.506,3.57143,3.136e+08,1.12e+09,4000000000,0.28,28,1
9,0,12132252600000,210400,0.0798479,12.5238,50,1.6e+06,8e+07,4000000000,0.02,2,1
9,0,12132252700000,210800,0.0796964,12.5476,0,0,0,4000000000,0,0,1
9,0,12132252800000,211200,0.0795455,12.5714,0,0,0,4000000000,0,0,1
9,0,12132252900000,211600,0.0793951,12.5952,0,0,0,4000000000,0,0,1
9,0,12132253000000,212000,0.0792453,12.619,0,0,0,4000000000,0,0,1
9,0,12132253100000,212400,0.079096,12.6429,0,0,0,4000000000,0,0,1
9,0,12132253200000,212800,0.0789474,12.6667,0,0,0,4000000000,0,0,1
9,0,12132253300000,213200,0.0787992,12.6905,0,0,0,4000000000,0,0,1
9,0,12132253400000,213600,0.0786517,12.7143,0,0,0,4000000000,0,0,1
9,0,12132253500000,214000,0.0785047,12.7381,0,0,0,4000000000,0,0,1
9,0,12132253600000,214400,0.07868,12.7097,5.7971,1.19025e+08,6.9e+08,4000000000,0.1725,17.25,1
9,0,12132253700000,214800,0.0794041,12.5938,2.13904,8.74225e+08,1.87e+09,4000000000,0.4675,46.75,1
9,0,12132253800000,215200,0.0800186,12.4971,2.43902,6.724e+08,1.64e+09,4000000000,0.41,41,1
9,0,12132253900000,215600,0.0803711,12.4423,3.7037,2.916e+08,1.08e+09,4000000000,0.27,27,1
9,0,12132254000000,216000,0.0805741,12.4109,5.26316,1.444e+08,7.6e+08,4000000000,0.19,19,1
9,0,12132254100000,216400,0.0804251,12.4339,0,0,0,4000000000,0,0,1
9,0,12132254200000,216800,0.0802768,12.4569,0,0,0,4000000000,0,0,1
9,0,12132254300000,217200,0.0801289,12.4799,0,0,0,4000000000,0,0,1
9,0,12132254400000,217600,0.0799816,12.5029,0,0,0,4000000000,0,0,1
9,0,12132254500000,218000,0.0798349,12.5259,0,0,0,4000000000,0,0,1
9,0,12132254600000,218400,0.0796886,12.5488,0,0,0,4000000000,0,0,1
9,0,12132254700000,218800,0.079543,12.5718,0,0,0,4000000000,0,0,1
9,0,12132254800000,219200,0.0793978,12.5948,0,0,0,4000000000,0,0,1
9,0,12132254900000,219600,0.079367,12.5997,16,1.5625e+07,2.5e+08,4000000000,0.0625,6.25,1
9,0,12132255000000,220000,0.0798,12.5313,3.14961,4.03225e+08,1.27e+09,4000000000,0.3175,31.75,1
9,0,12132255100000,220400,0.0796552,12.5541,0,0,0,4000000000,0,0,1
9,0,12132255200000,220800,0.0795109,12.5769,0,0,0,4000000000,0,0,1
9,0,12132255300000,221200,0.0793671,12.5997,0,0,0,4000000000,0,0,1
9,0,12132255400000,221600,0.0792238,12.6225,0,0,0,4000000000,0,0,1
9,0,12132255500000,222000,0.0790811,12.6452,0,0,0,4000000000,0,0,1
9,0,12132255600000,222400,0.0789388,12.668,0,0,0,4000000000,0,0,1
9,0,12132255700000,222800,0.0787971,12.6908,0,0,0,4000000000,0,0,1
9,0,12132255800000,223200,0.0786559,12.7136,0,0,0,4000000000,0,0,1
9,0,12132255900000,223600,0.0785152,12.7364,0,0,0,4000000000,0,0,1
9,0,12132256000000,224000,0.078375,12.7592,0,0,0,4000000000,0,0,1
