CU,perfLevel,clock,Cycles,IPC,CPI,CPI_delta,ED2P,EDP,Frequency,IPC_delta,Sensitivity,Voltage
3,0,12513524000000,78000,0.106513,9.38854,6.21118,1.03684e+08,6.44e+08,4000000000,0.161,161,1
3,1,12513525000000,80000,0.1056,9.4697,14.2857,8.82e+06,1.26e+08,2000000000,0.07,70,0.9
3,0,12513526000000,84000,0.102286,9.77654,27.7778,5.184e+06,1.44e+08,4000000000,0.036,36,1
3,1,12513527000000,86000,0.105581,9.47137,4.09836,1.07165e+08,4.392e+08,2000000000,0.244,244,0.9
3,1,12513528000000,88000,0.104864,9.53619,13.5135,9.8568e+06,1.332e+08,2000000000,0.074,74,0.9
3,0,12513529000000,92000,0.10687,9.3572,6.62252,9.1204e+07,6.04e+08,4000000000,0.151,151,1
3,1,12513530000000,94000,0.105947,9.4387,15.748,7.25805e+06,1.143e+08,2000000000,0.0635,63.5,0.9
3,0,12513531000000,98000,0.108245,9.23831,6.16333,1.053e+08,6.49e+08,4000000000,0.16225,162.25,1
3,1,12513532000000,100000,0.10734,9.31619,15.873,7.1442e+06,1.134e+08,2000000000,0.063,63,0.9
3,0,12513533000000,104000,0.104298,9.5879,35.3982,3.19225e+06,1.13e+08,4000000000,0.02825,28.25,1
3,1,12513534000000,106000,0.107245,9.32442,3.83877,1.22148e+08,4.689e+08,2000000000,0.2605,260.5,0.9
3,1,12513535000000,108000,0.106778,9.36524,12.1951,1.21032e+07,1.476e+08,2000000000,0.082,82,0.9
3,0,12513536000000,112000,0.108357,9.22874,6.62252,9.1204e+07,6.04e+08,4000000000,0.151,151,1
3,1,12513537000000,114000,0.10757,9.29626,15.748,7.25805e+06,1.143e+08,2000000000,0.0635,63.5,0.9
3,0,12513538000000,118000,0.109424,9.13879,6.16333,1.053e+08,6.49e+08,4000000000,0.16225,162.25,1
3,1,12513539000000,120000,0.10865,9.20387,15.873,7.1442e+06,1.134e+08,2000000000,0.063,63,0.9
3,0,12513540000000,124000,0.106024,9.43181,36.6972,2.97025e+06,1.09e+08,4000000000,0.02725,27.25,1
3,0,12513541000000,128000,0.109781,9.10902,4.41989,2.04756e+08,9.05e+08,4000000000,0.22625,226.25,1
3,0,12513542000000,132000,0.107311,9.31874,35.3982,3.19225e+06,1.13e+08,4000000000,0.02825,28.25,1
3,0,12513543000000,136000,0.108706,9.19913,6.46204,9.57902e+07,6.19e+08,4000000000,0.15475,154.75,1
3,0,12513544000000,140000,0.106621,9.37898,27.972,5.11225e+06,1.43e+08,4000000000,0.03575,35.75,1
3,0,12513545000000,144000,0.103667,9.6463,4000,250,1e+06,4000000000,0.00025,0.25,1
3,0,12513546000000,148000,0.105,9.52381,6.53595,9.3636e+07,6.12e+08,4000000000,0.153,153,1
3,0,12513547000000,152000,0.103342,9.6766,23.8095,7.056e+06,1.68e+08,4000000000,0.042,42,1
4,0,12513501000000,4000,0.03,33.3333,33.3333,3.6e+06,1.2e+08,4000000000,0.03,30,1
4,0,12513502000000,8000,0.026625,37.5587,43.0108,2.16225e+06,9.3e+07,4000000000,0.02325,23.25,1
4,0,12513503000000,12000,0.068,14.7059,6.6335,9.09022e+07,6.03e+08,4000000000,0.15075,150.75,1
4,1,12513504000000,14000,0.0682857,14.6444,14.2857,8.82e+06,1.26e+08,2000000000,0.07,70,0.9
4,0,12513505000000,18000,0.0871111,11.4796,6.53595,9.3636e+07,6.12e+08,4000000000,0.153,153,1
4,1,12513506000000,20000,0.0868,11.5207,11.9048,1.27008e+07,1.512e+08,2000000000,0.084,84,0.9
4,0,12513507000000,24000,0.0938333,10.6572,7.75194,6.6564e+07,5.16e+08,4000000000,0.129,129,1
4,0,12513508000000,28000,0.0837143,11.9454,43.4783,2.116e+06,9.2e+07,4000000000,0.023,23,1
4,0,12513509000000,32000,0.0778125,12.8514,27.3973,5.329e+06,1.46e+08,4000000000,0.0365,36.5,1
4,0,12513510000000,36000,0.0866667,11.5385,6.34921,9.9225e+07,6.3e+08,4000000000,0.1575,157.5,1
4,1,12513511000000,38000,0.0857895,11.6564,14.2857,8.82e+06,1.26e+08,2000000000,0.07,70,0.9
4,0,12513512000000,42000,0.0921905,10.8471,6.53595,9.3636e+07,6.12e+08,4000000000,0.153,153,1
4,1,12513513000000,44000,0.0918182,10.8911,11.9048,1.27008e+07,1.512e+08,2000000000,0.084,84,0.9
4,0,12513514000000,48000,0.0936042,10.6833,8.83002,5.13022e+07,4.53e+08,4000000000,0.11325,113.25,1
4,0,12513515000000,52000,0.0893846,11.1876,25.8065,6.00625e+06,1.55e+08,4000000000,0.03875,38.75,1
4,1,12513516000000,54000,0.0885185,11.2971,15.1515,7.8408e+06,1.188e+08,2000000000,0.066,66,0.9
4,0,12513517000000,58000,0.0935172,10.6932,6.21118,1.03684e+08,6.44e+08,4000000000,0.161,161,1
4,1,12513518000000,60000,0.0927333,10.7836,14.2857,8.82e+06,1.26e+08,2000000000,0.07,70,0.9
4,0,12513519000000,64000,0.0965,10.3627,6.53595,9.3636e+07,6.12e+08,4000000000,0.153,153,1
4,1,12513520000000,66000,0.0961212,10.4035,11.9048,1.27008e+07,1.512e+08,2000000000,0.084,84,0.9
4,1,12513521000000,68000,0.0972647,10.2812,7.40741,3.2805e+07,2.43e+08,2000000000,0.135,135,0.9
4,0,12513522000000,72000,0.0966111,10.3508,11.6959,2.9241e+07,3.42e+08,4000000000,0.0855,85.5,1
4,1,12513523000000,74000,0.0957027,10.449,15.873,7.1442e+06,1.134e+08,2000000000,0.063,63,0.9
4,0,12513524000000,78000,0.0991282,10.0879,6.15385,1.05625e+08,6.5e+08,4000000000,0.1625,162.5,1
4,1,12513525000000,80000,0.0985,10.1523,13.5135,9.8568e+06,1.332e+08,2000000000,0.074,74,0.9
4,0,12513526000000,84000,0.100952,9.90566,6.66667,9e+07,6e+08,4000000000,0.15,150,1
4,1,12513527000000,86000,0.100558,9.9445,11.9048,1.27008e+07,1.512e+08,2000000000,0.084,84,0.9
4,1,12513528000000,88000,0.100114,9.98865,12.3457,1.18098e+07,1.458e+08,2000000000,0.081,81,0.9
4,0,12513529000000,92000,0.100565,9.9438,9.04977,4.8841e+07,4.42e+08,4000000000,0.1105,110.5,1
4,1,12513530000000,94000,0.10017,9.98301,12.1951,1.21032e+07,1.476e+08,2000000000,0.082,82,0.9
4,0,12513531000000,98000,0.102327,9.77264,6.53595,9.3636e+07,6.12e+08,4000000000,0.153,153,1
4,1,12513532000000,100000,0.10155,9.84737,15.748,7.25805e+06,1.143e+08,2000000000,0.0635,63.5,0.9
4,0,12513533000000,104000,0.103817,9.63231,6.23053,1.03041e+08,6.42e+08,4000000000,0.1605,160.5,1
4,1,12513534000000,106000,0.103226,9.68744,13.7931,9.46125e+06,1.305e+08,2000000000,0.0725,72.5,0.9
4,1,12513535000000,108000,0.101907,9.81283,31.25,1.8432e+06,5.76e+07,2000000000,0.032,32,0.9
4,0,12513536000000,112000,0.10325,9.68523,7.16846,7.7841e+07,5.58e+08,4000000000,0.1395,139.5,1
4,1,12513537000000,114000,0.102702,9.73693,13.8889,9.3312e+06,1.296e+08,2000000000,0.072,72,0.9
4,0,12513538000000,118000,0.104407,9.57792,6.53595,9.3636e+07,6.12e+08,4000000000,0.153,153,1
4,1,12513539000000,120000,0.104067,9.60922,11.9048,1.27008e+07,1.512e+08,2000000000,0.084,84,0.9
4,0,12513540000000,124000,0.105323,9.49464,6.99301,8.1796e+07,5.72e+08,4000000000,0.143,143,1
4,0,12513541000000,128000,0.102313,9.77398,111.111,324000,3.6e+07,4000000000,0.009,9,1
4,0,12513542000000,132000,0.0998485,10.0152,47.619,1.764e+06,8.4e+07,4000000000,0.021,21,1
4,0,12513543000000,136000,0.0977941,10.2256,33.3333,3.6e+06,1.2e+08,4000000000,0.03,30,1
4,0,12513544000000,140000,0.0950857,10.5168,333.333,36000,1.2e+07,4000000000,0.003,3,1
4,0,12513545000000,144000,0.0932778,10.7207,33.3333,3.6e+06,1.2e+08,4000000000,0.03,30,1
4,0,12513546000000,148000,0.0908378,11.0086,333.333,36000,1.2e+07,4000000000,0.003,3,1
4,0,12513547000000,152000,0.0892368,11.2061,33.3333,3.6e+06,1.2e+08,4000000000,0.03,30,1
5,0,12513501000000,4000,0.03,33.3333,33.3333,3.6e+06,1.2e+08,4000000000,0.03,30,1
5,0,12513502000000,8000,0.026625,37.5587,43.0108,2.16225e+06,9.3e+07,4000000000,0.02325,23.25,1
5,0,12513503000000,12000,0.068,14.7059,6.6335,9.09022e+07,6.03e+08,4000000000,0.15075,150.75,1
5,1,12513504000000,14000,0.0682857,14.6444,14.2857,8.82e+06,1.26e+08,2000000000,0.07,70,0.9
5,0,12513505000000,18000,0.0871111,11.4796,6.53595,9.3636e+07,6.12e+08,4000000000,0.153,153,1
5,1,12513506000000,20000,0.0868,11.5207,11.9048,1.27008e+07,1.512e+08,2000000000,0.084,84,0.9
