CU,perfLevel,clock,Cycles,IPC,CPI,CPI_delta,ED2P,EDP,Frequency,IPC_delta,Sensitivity,Voltage
0,2,12175949000000,166754,0.11027,9.06863,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
0,1,12175950000000,168754,0.11291,8.85662,3.003,1.996e+08,5.994e+08,2000000000,0.333,333,0.9
0,0,12175951000000,172754,0.111175,8.99479,26.3158,5.776e+06,1.52e+08,4000000000,0.038,38,1
0,2,12175952000000,173754,0.113241,8.83076,2.12766,1.7672e+08,3.76e+08,1000000000,0.47,470,0.8
0,0,12175953000000,177754,0.113584,8.80406,7.7821,6.6049e+07,5.14e+08,4000000000,0.1285,128.5,1
0,2,12175954000000,178754,0.113385,8.81952,12.8205,4.8672e+06,6.24e+07,1000000000,0.078,78,0.8
0,2,12175955000000,179754,0.115174,8.68251,2.29885,1.5138e+08,3.48e+08,1000000000,0.435,435,0.8
0,1,12175956000000,181754,0.115156,8.6839,8.81057,2.3188e+07,2.043e+08,2000000000,0.1135,113.5,0.9
0,2,12175957000000,182754,0.115062,8.69098,10.2041,7.6832e+06,7.84e+07,1000000000,0.098,98,0.8
0,1,12175958000000,184754,0.117334,8.52265,3.07692,1.90125e+08,5.85e+08,2000000000,0.325,325,0.9
0,1,12175959000000,186754,0.116977,8.54866,11.9048,1.27008e+07,1.512e+08,2000000000,0.084,84,0.9
0,2,12175960000000,187754,0.117404,8.51762,5.07614,3.10472e+07,1.576e+08,1000000000,0.197,197,0.8
0,1,12175961000000,189754,0.118353,8.44928,4.81928,7.75012e+07,3.735e+08,2000000000,0.2075,207.5,0.9
0,0,12175962000000,193754,0.116643,8.57319,28.169,5.041e+06,1.42e+08,4000000000,0.0355,35.5,1
0,2,12175963000000,194754,0.118442,8.44297,2.14133,1.74471e+08,3.736e+08,1000000000,0.467,467,0.8
0,0,12175964000000,198754,0.116798,8.56182,27.2109,5.40225e+06,1.47e+08,4000000000,0.03675,36.75,1
0,2,12175965000000,199754,0.116804,8.56137,8.47458,1.11392e+07,9.44e+07,1000000000,0.118,118,0.8
0,1,12175966000000,201754,0.118868,8.41273,3.07692,1.90125e+08,5.85e+08,2000000000,0.325,325,0.9
0,0,12175967000000,205754,0.117257,8.52831,27.7778,5.184e+06,1.44e+08,4000000000,0.036,36,1
0,2,12175968000000,206754,0.118087,8.46832,3.46021,6.68168e+07,2.312e+08,1000000000,0.289,289,0.8
0,0,12175969000000,210754,0.117473,8.51256,11.6618,2.94123e+07,3.43e+08,4000000000,0.08575,85.75,1
0,2,12175970000000,211754,0.1174,8.51786,9.80392,8.3232e+06,8.16e+07,1000000000,0.102,102,0.8
0,1,12175971000000,213754,0.119418,8.37397,3.003,1.996e+08,5.994e+08,2000000000,0.333,333,0.9
0,0,12175972000000,217754,0.117885,8.48282,27.7778,5.184e+06,1.44e+08,4000000000,0.036,36,1
0,2,12175973000000,218754,0.118238,8.45753,5.12821,3.042e+07,1.56e+08,1000000000,0.195,195,0.8
0,0,12175974000000,222754,0.118076,8.46909,9.15332,4.77422e+07,4.37e+08,4000000000,0.10925,109.25,1
0,2,12175975000000,223754,0.118228,8.45823,6.57895,1.84832e+07,1.216e+08,1000000000,0.152,152,0.8
0,1,12175976000000,225754,0.119856,8.34334,3.31126,1.64167e+08,5.436e+08,2000000000,0.302,302,0.9
0,0,12175977000000,229754,0.11817,8.46239,43.4783,2.116e+06,9.2e+07,4000000000,0.023,23,1
0,2,12175978000000,230754,0.11816,8.46307,8.62069,1.07648e+07,9.28e+07,1000000000,0.116,116,0.8
0,0,12175979000000,234754,0.11855,8.43529,7.0922,7.9524e+07,5.64e+08,4000000000,0.141,141,1
0,2,12175980000000,235754,0.118687,8.4255,6.62252,1.82408e+07,1.208e+08,1000000000,0.151,151,0.8
0,1,12175981000000,237754,0.120284,8.31366,3.24149,1.7131e+08,5.553e+08,2000000000,0.3085,308.5,0.9
0,0,12175982000000,241754,0.118658,8.4276,45.4545,1.936e+06,8.8e+07,4000000000,0.022,22,1
0,2,12175983000000,242754,0.118231,8.45803,66.6667,180000,1.2e+07,1000000000,0.015,15,0.8
0,0,12175984000000,246754,0.119042,8.40042,5.94354,1.13232e+08,6.73e+08,4000000000,0.16825,168.25,1
0,2,12175985000000,247754,0.119175,8.39105,6.57895,1.84832e+07,1.216e+08,1000000000,0.152,152,0.8
0,1,12175986000000,249754,0.120639,8.28921,3.31126,1.64167e+08,5.436e+08,2000000000,0.302,302,0.9
0,0,12175987000000,253754,0.119273,8.38413,29.4118,4.624e+06,1.36e+08,4000000000,0.034,34,1
0,2,12175988000000,254754,0.118821,8.41606,250,12800,3.2e+06,1000000000,0.004,4,0.8
0,0,12175989000000,258754,0.119426,8.37337,6.32911,9.9856e+07,6.32e+08,4000000000,0.158,158,1
0,2,12175990000000,259754,0.119421,8.37376,8.47458,1.11392e+07,9.44e+07,1000000000,0.118,118,0.8
0,1,12175991000000,261754,0.120976,8.26609,3.09598,1.87792e+08,5.814e+08,2000000000,0.323,323,0.9
0,0,12175992000000,265754,0.119272,8.3842,129.032,240250,3.1e+07,4000000000,0.00775,7.75,1
0,2,12175993000000,266754,0.1192,8.38928,10,8e+06,8e+07,1000000000,0.1,100,0.8
0,0,12175994000000,270754,0.11985,8.34373,6.12557,1.06602e+08,6.53e+08,4000000000,0.16325,163.25,1
0,2,12175995000000,271754,0.11977,8.34933,10.2041,7.6832e+06,7.84e+07,1000000000,0.098,98,0.8
0,1,12175996000000,273754,0.120937,8.26876,3.57782,1.40616e+08,5.031e+08,2000000000,0.2795,279.5,0.9
0,0,12175997000000,277754,0.119595,8.36155,36.036,3.08025e+06,1.11e+08,4000000000,0.02775,27.75,1
0,2,12175998000000,278754,0.119575,8.36295,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
0,0,12175999000000,282754,0.12014,8.32364,6.26959,1.01761e+08,6.38e+08,4000000000,0.1595,159.5,1
0,2,12176000000000,283754,0.120294,8.31294,6.09756,2.15168e+07,1.312e+08,1000000000,0.164,164,0.8
0,1,12176001000000,285754,0.121094,8.25807,4.26439,9.89824e+07,4.221e+08,2000000000,0.2345,234.5,0.9
0,0,12176002000000,289754,0.121199,8.25087,7.76699,6.63062e+07,5.15e+08,4000000000,0.12875,128.75,1
0,2,12176003000000,290754,0.121195,8.25115,8.33333,1.152e+07,9.6e+07,1000000000,0.12,120,0.8
0,0,12176004000000,294754,0.1216,8.2237,6.62252,9.1204e+07,6.04e+08,4000000000,0.151,151,1
0,2,12176005000000,295754,0.121574,8.22544,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
0,1,12176006000000,297754,0.122134,8.1877,4.87805,7.5645e+07,3.69e+08,2000000000,0.205,205,0.9
0,0,12176007000000,301754,0.121351,8.24059,15.873,1.5876e+07,2.52e+08,4000000000,0.063,63,1
0,2,12176008000000,302754,0.121425,8.23551,6.94444,1.65888e+07,1.152e+08,1000000000,0.144,144,0.8
0,0,12176009000000,306754,0.121902,8.20329,6.32911,9.9856e+07,6.32e+08,4000000000,0.158,158,1
0,1,12176010000000,308754,0.121521,8.22905,15.873,7.1442e+06,1.134e+08,2000000000,0.063,63,0.9
0,2,12176011000000,309754,0.122542,8.16044,2.28311,1.53475e+08,3.504e+08,1000000000,0.438,438,0.8
0,0,12176012000000,313754,0.121567,8.22595,21.7391,8.464e+06,1.84e+08,4000000000,0.046,46,1
0,2,12176013000000,314754,0.121555,8.22671,8.47458,1.11392e+07,9.44e+07,1000000000,0.118,118,0.8
0,1,12176014000000,316754,0.12284,8.14068,3.07692,1.90125e+08,5.85e+08,2000000000,0.325,325,0.9
0,0,12176015000000,320754,0.121757,8.21309,27.7778,5.184e+06,1.44e+08,4000000000,0.036,36,1
0,2,12176016000000,321754,0.122808,8.14278,2.17391,1.6928e+08,3.68e+08,1000000000,0.46,460,0.8
0,0,12176017000000,325754,0.121828,8.20829,23.2558,7.396e+06,1.72e+08,4000000000,0.043,43,1
