CU,perfLevel,clock,Cycles,IPC,CPI,CPI_delta,ED2P,EDP,Frequency,IPC_delta,Sensitivity,Voltage
21,2,12159912600000,13100,0.0760305,13.1526,0,0,0,1000000000,0,0,0.8
21,2,12159912700000,13200,0.0754545,13.253,0,0,0,1000000000,0,0,0.8
21,2,12159912800000,13300,0.0748872,13.3534,0,0,0,1000000000,0,0,0.8
21,2,12159912900000,13400,0.0743284,13.4538,0,0,0,1000000000,0,0,0.8
21,2,12159913000000,13500,0.0737778,13.5542,0,0,0,1000000000,0,0,0.8
21,2,12159913100000,13600,0.0732353,13.6546,0,0,0,1000000000,0,0,0.8
21,2,12159913200000,13700,0.0727007,13.755,0,0,0,1000000000,0,0,0.8
21,2,12159913300000,13800,0.0721739,13.8554,0,0,0,1000000000,0,0,0.8
21,2,12159913400000,13900,0.0716547,13.9558,0,0,0,1000000000,0,0,0.8
21,2,12159913500000,14000,0.0757143,13.2075,1.5625,3.2768e+08,5.12e+08,1000000000,0.64,64,0.8
21,1,12159913600000,14200,0.0802817,12.4561,2.5,2.88e+08,7.2e+08,2000000000,0.4,40,0.9
21,2,12159913700000,14300,0.0805594,12.4132,8.33333,1.152e+07,9.6e+07,1000000000,0.12,12,0.8
21,2,12159913800000,14400,0.08,12.5,0,0,0,1000000000,0,0,0.8
21,2,12159913900000,14500,0.0794483,12.5868,0,0,0,1000000000,0,0,0.8
21,2,12159914000000,14600,0.0789041,12.6736,0,0,0,1000000000,0,0,0.8
21,2,12159914100000,14700,0.0783673,12.7604,0,0,0,1000000000,0,0,0.8
21,2,12159914200000,14800,0.0778378,12.8472,0,0,0,1000000000,0,0,0.8
21,2,12159914300000,14900,0.0773154,12.934,0,0,0,1000000000,0,0,0.8
21,2,12159914400000,15000,0.0768,13.0208,0,0,0,1000000000,0,0,0.8
21,2,12159914500000,15100,0.0762914,13.1076,0,0,0,1000000000,0,0,0.8
21,2,12159914600000,15200,0.0757895,13.1944,0,0,0,1000000000,0,0,0.8
21,2,12159914700000,15300,0.0757516,13.201,14.2857,3.92e+06,5.6e+07,1000000000,0.07,7,0.8
21,2,12159914800000,15400,0.0771429,12.963,3.44828,6.728e+07,2.32e+08,1000000000,0.29,29,0.8
21,2,12159914900000,15500,0.0766452,13.0471,0,0,0,1000000000,0,0,0.8
21,2,12159915000000,15600,0.0761538,13.1313,0,0,0,1000000000,0,0,0.8
21,2,12159915100000,15700,0.0756688,13.2155,0,0,0,1000000000,0,0,0.8
21,2,12159915200000,15800,0.0751899,13.2997,0,0,0,1000000000,0,0,0.8
21,2,12159915300000,15900,0.074717,13.3838,0,0,0,1000000000,0,0,0.8
21,2,12159915400000,16000,0.07425,13.468,0,0,0,1000000000,0,0,0.8
21,2,12159915500000,16100,0.0737888,13.5522,0,0,0,1000000000,0,0,0.8
21,2,12159915600000,16200,0.0733333,13.6364,0,0,0,1000000000,0,0,0.8
21,2,12159915700000,16300,0.0728834,13.7205,0,0,0,1000000000,0,0,0.8
21,2,12159915800000,16400,0.0770732,12.9747,1.31579,4.6208e+08,6.08e+08,1000000000,0.76,76,0.8
